Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Bill Matthews' Conga Joy,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.66909, -122.385796)"
Bitter Lake Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,13035 Linden Ave N Seattle WA 98133,"(47.72447, -122.348)"
BJ Montoya Violin Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Black Box Operations 12th Avenue Arts,(206 )566-6112,www.blackboxoperations.org,5000,Capitol Hill,Y,Performance,2015,R,2014,2030,2013,0,2,230,N,,Y,0,I don't know.,N,Y,,N,,2,,,,,,,0,1620 12th Ave Suite 101 Seattle WA 98122,"(47.5324205, -122.3249576)"
Blessed Sacrament Church,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,5041 9th Ave NE Seattle WA 98105,"(47.665938, -122.318411)"
Blick Art Materials,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1600 Broadway Ct Seattle, WA 98122","(47.6121708, -122.319849)"
Blindfold Gallery (CLOSED),,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-11T00:00:00,1,1718 E Olive Way Seattle WA 98102,"(47.6200267, -122.3227112)"
Blowing Sands Glass Studio/Laura Frost Fine Arts Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,5805 14th Ave NW Seattle WA 98107,"(47.671066, -122.373662)"
Blue Moon Tavern,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,712 NE 45th St Seattle WA 98105,"(47.6614953, -122.3199004)"
Bonfire at Panama Hotel,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,603 South Main Street Seattle WA 98104,"(47.60003, -122.326102)"
Bookworm Exchange,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,5800 Rainier Ave S Seattle WA 98118,"(47.550287, -122.277273)"
Bootstrap Music,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Bop Street Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.66909, -122.385796)"
Brace Point Pottery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,4208 SW 100th St Seattle WA 98146,"(47.513939, -122.38636)"
Brass Tacks,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,6031 Airport Way S Seattle WA 98108,"(47.548977, -122.31663)"
Bremelo Press,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1400 S. Jackson Place Seattle WA 98144,"(47.598796, -122.313501)"
Broadway Bound Children's Theatre,(206) 526-5437,www.broadwaybound.org,10000,University District,Y,Performance,2002,R,1908,,1996,2,0,0,N,0,Y,101,Y,N,N,,N,,3,,,,,,,0,5031 University Way NE Seattle WA 98105,"(47.6656768, -122.3136491)"
Brooke Westlund Studio + Gallery,(425) 681-6037,www.brookewestlund.com,500,Pike Market,N,Visual,2014,R,1905,2018,2011,2,0,,Y,400,Y,0,Y,Y,N,,N,,5,,,,,,,0,1516 Western Ave Seattle WA 98101,"(47.6088638, -122.3413696)"
Brooklyn Frame Shop,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4733 Brooklyn Ave NE Seattle WA 98105,"(47.664074, -122.314514)"
Bryan Ohno Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,521 S Main St Seattle WA 98104,"(47.5999167, -122.3267574)"
Burke Museum,(206) 543-5590,www.burkemuseum.org,60000,University District,Y,Arts/Cultural Training or Education,1962,O,1962,0,1885,3,1,80,Y,17466,Y,,Y,Y,Y,,,,5,,,,,,,0,17 Ave NE and Northeast 45th St Seattle WA 98105,"(47.6609225, -122.3151058)"
C & P Coffee Company,(206) 933-3125,www.candpcoffee.com,2000,West Seattle,N,Literary,2004,R,1904,2020,2004,0,0,,Y,50,Y,3,N,N,Y,,N,,2,,,,,,,0,5612 California Ave SW Seattle WA 98136,"(47.55166065, -122.3866496)"
C Art Gallery in Artspace Hiawatha Lofts,(206) 322-9374,www.cartgallery.org,,Central District,N,Visual,2008,R,2008,,2008,0,0,0,Y,600,Y,0,Y,Y,N,,N,,2,,,,,,,0,855 Hiawatha Pl S Seattle WA 98144,"(47.594554, -122.3095312)"
Cafe Nordo,(206) 579-6215,www.cafenordo.com,4100,Pioneer Square,Y,Performance,2015,R,1890,2025-03-01T00:00:00,2009,4,1,72,N,,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,109 S. Main St Seattle WA 98104,"(47.60004, -122.333781)"
Cafe Racer Espresso,(206) 523-5282,www.caferacerseattle.com,2000,Rosetown,Other,Performance,2004,R,1970,,2004,20,1,20,Y,1200,Partial,2,Y,N,Y,,N,,3,,,,,,,0,5828 Roosevelt Way NE Seattle WA 98105,"(47.67146895, -122.3171254)"
Calypte Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1107 East Denny Way #A2 Seattle WA 98122,"(47.618587, -122.317818)"
Can Can Kitchen and Cabaret,(206) 652-0832,www.thecancan.com,500,Pike Market,N,Performance,2005,R,1920,,2005,1,1,58,N,,Y,0,N,N,Y,,N,,5,,,,,,,0,Pike Place Market 94 Pike St. Seattle WA 98101,"(47.608811, -122.340249)"
Canlis Glass,(206) 282-4428,www.canlisglass.com,3500,Uptown,N,Visual,2005,R,1928,2015,1996,0,0,0,Y,2000,Y,0,Y,Y,N,,N,,4,,,,,,,0,3131 Western Ave #329 Seattle WA 98121,"(47.6182617, -122.3577413)"
Canoe Social Club,(206) 550-4818,www.canoesocialclub.com,522,Capitol Hill,Other,Performance,2010,R,1900,2015,2009,3,0,0,Y,200,N,0,N,N,N,,N,,2,,,,,,,0,1423 10th Ave Seattle WA 98122,"(47.613571, -122.319832)"
Canvas Paint & Sip,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3418 Fremont Ave N Seattle WA 98103,"(47.650017, -122.349812)"
Capitol Cider,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,818 E Pike St Seattle WA 98122,"(47.61407, -122.321734)"
Capitol Club (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-14T00:00:00,1,414 E Pine St Seattle WA 98122,"(47.6153941, -122.3260485)"
Capitol Hill Block Party,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1122 E Pike St Seattle WA 98122,"(47.614273, -122.317245)"
Capitol Music Center,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1006 NE 50th St Seattle WA 98105,"(47.664948, -122.317176)"
Caravan Gallery-Parlor and Roadside Attractions,(206) 799-1180,www.acaravan.com,260,West Seattle,N,Performance,2011,O,1974,0,2008,0,1,25,Y,200,N,0,Y,Y,N,,N,,5,,,,,,,0,,
Cassandria Blackmore Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1115 East Pike St Seattle WA 98122,"(47.6139358, -122.3174302)"
Center for Wooden Boats South Lake Union,(206) 382-2628,www.cwb.org,4000,South Lake Union,Y,Heritage,1983,R,1982,2013,1977,1,0,0,Y,784,Partial,18,N,Y,Y,,Y,,1,,,,,,,0,1010 Valley Street Seattle WA 98109,"(47.62648, -122.3357295)"
Center for Wooden Boats Wallingford,(206) 382-2628,www.cwb.org,6000,Wallingford,Y,Heritage,2011,R,1927,2016,1977,1,0,0,Y,,Partial,8,Y,N,Y,,Y,,2,,,,,,,0,1475 N Northlake Place Seattle WA 98103,"(47.64632043, -122.3381967)"
Central Area Senior Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,500 30th Ave S Seattle WA 98144,"(47.597873, -122.293854)"
Central Cinema,(206) 328-3230,www.central-cinema.com,3500,Central District,N,Cinema,2005,R,1929,2025,2005,0,1,120,,,Y,0,Y,Y,Y,,N,,4,,,,,,,0,1411 21st Ave Seattle WA 98122,"(47.6132215, -122.3051662)"
Central District Forum for Arts & Ideas,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1404 E Yesler Way #202 Seattle WA 98122,"(47.6019002, -122.3137703)"
Central Saloon,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,207 1st Ave S Seattle WA 98104,"(47.600586, -122.334579)"
Century Ballroom,(206) 324-7263,www.centuryballroom.com,11300,Capitol Hill,N,Multi-use,1996,R,1908,2017,1996,2,2,399,N,0,Partial,0,Y,Y,Y,,N,,4,,,,,,,0,915 E Pine St Seattle WA 98122,"(47.6151265, -122.3198707)"
Chihuly Garden and Glass,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.62056855, -122.350491)"
Chihuly Workshop,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1111 NW 50th St Seattle WA 98107,"(47.665052, -122.37122)"
Chinese Information and Service Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,611 S Lane St Seattle WA 98104,"(47.596665, -122.325649)"
Choeizan Enkyoji Nichiren Buddhist Temple,(206) 356-7405,www.seattlebuddhist.org,1200,International,Y,Arts/Cultural Training or Education,2010,R,1901,,2010,0,0,0,N,0,N,0,N,,N,,N,,3,,,,,,,0,501 S Jackson St Suite 202 Seattle WA 98104,"(47.5989593, -122.3271163)"
"Chop Suey, LLC.",(206) 538-0556,www.chopsuey.com,4957,Capitol Hill,N,Music,2015,O,1923,,2015,0,1,,N,,Y,0,N,N,Y,,N,,4,,,,,,,0,1325 E Madison St Seattle WA 98122,"(47.6134869, -122.3144433)"
Christian Grevstad Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,312 Occidental Ave S Seattle WA 98104,"(47.5995076, -122.3326934)"
Cinerama,(206) 448-6680,www.cinerama.com,14000,Belltown,N,Cinema,2009,O,1963,0,2009,3,1,797,Y,60,Y,0,N,N,N,,N,,5,,,,,,,0,2100 4th Ave Seattle WA 98121,"(47.6141557, -122.3413991)"
Circle of Art Studios,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2821 Thorndyke Ave W Seattle WA 98199,"(47.645466, -122.383057)"
City Arts Magazine/Encore Media Group,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,425 N. 85th St Seattle WA 98103,"(47.690365, -122.352966)"
City Hall Lobby Gallery & Anne Focke Gallery,,http://www.seattle.gov/arts/publicart/city_hall.asp,,Downtown,Other,Visual,2005,Other,2005,,1971,,0,0,Y,1392,Y,0,Y,Y,N,,N,,5,,,,,,,0,600 4th Ave Seattle WA 98104,"(47.6038849, -122.3300938)"
City of Seattle Loyal Hts,(206) 684-4052,www.seattle.gov/parks/centers/Loyalhtd.htm,30000,Loyal Heights,Government,Multi-use,1959,Other,1952,,1959,0,0,,N,,Y,16,Y,Y,N,,N,,5,,,,,,,0,2101 NW 77th St. Seattle WA 98117,"(47.6846957, -122.3828419)"
Civetta Dance Space,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,124 N 103rd St Seattle WA 98133,"(47.703865, -122.356766)"
Clearwater Film LLC,,,400,,N,Multi-use,2007,R,1900,,2005,,,200,N,,Y,,,N,N,,Y,,2,,,,,,,,1515 12th Ave Seattle WA 98102,"(47.614429, -122.317253)"
Cleopatra Park Audio Recording,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
CoCA,(206) 728-1980,www.cocaseattle.org,4600,Georgetown,Y,Visual,2010,R,1983,2013,1980,10,0,0,Y,4000,Y,295,N,N,N,,Y,,4,,,,,,,0,5701 6th Ave S #258 Seattle WA 98108,"(47.5514664, -122.3283134)"
Color 1 Photo,(206) 622-7107,www.color1photo.com,4000,Pioneer Square,N,Visual,2013,R,1890,,2004,1,0,,N,,I don't know.,0,Y,N,N,,N,,2,,,,,,,0,411 2nd Avenue Ext. S Seattle WA 98104,"(47.599017, -122.331575)"
Columbia City Farmers Market,206-632-5234,www.seattlefarmersmarkets.org,10000,Columbia City,Y,Multi-use,1998,Other,1998,2016,1998,1,0,0,N,,Y,0,Y,Y,Y,,N,,3,,,,,,,0,36th Ave A S Edmunds St 98118,"(47.542519, -122.269028)"
Columbia City Gallery SEEDArts,(206) 760-9843,www.columbiacitygallery.com,3518,Columbia City,Y,Performance,1998,O,1921,0,1975,0,1,252,,,Y,15,Y,Y,Y,,Y,,5,,,,,,,0,4864 Rainier Ave S Seattle WA 98118,"(47.558197, -122.2850094)"
Columbia City Theater,(206) 722-3009,www.columbiacitytheater.com,1820,Columbia City,N,Music,2010,O,1917,0,2010,0,1,120,,,Partial,0,Y,Y,Y,,N,,4,,,,,,,0,4916 Rainier Ave S Seattle WA 98118,"(47.5573208, -122.2844836)"
Comet Tavern,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,922 E Pike St Seattle WA 98122,"(47.6142655, -122.3197336)"
Comics Dungeon,(206) 545-8373,www.ComicsDungeon.com,1600,Wallingford,N,Visual,2012,R,1950,2020,1992,3,0,0,Y,300,Partial,0,Y,N,N,,N,,5,,,,,,,0,319 NE 45th St Seattle WA 98105,"(47.661356, -122.3248)"
Comics Journal / Fantagraphics Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,7563 Lake City Way NE Seattle WA 98115,"(47.684772, -122.315903)"
Conrow Porcelain Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1429 34th Ave Seattle WA 98122,"(47.613737, -122.2895678)"
Contactcreate,(206) 280-1230,www.contactcreate.com,1200,Beacon Hill,N,Visual,2011,O,1978,0,2012,0,0,0,N,0,Partial,5,N,N,N,,N,,4,,,,,,,0,928 13th Ave Seattle WA 98122,"(47.611258, -122.315128)"
Cornish College of the Arts,(206) 726-5151,www.cornish.edu,400000,South Lake Union,Y,Arts/Cultural Training or Education,1921,O,1921,,1914,2,3,200,Y,2500,Partial,75,Y,Y,Y,,Y,,4,,,,,,,0,1000 Lenora Street Seattle WA 98121,"(47.6088638, -122.3413696)"
Cornish College of the Arts- Annex,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1020 Virginia St Seattle WA 98101,"(47.61760085, -122.3345624)"
Cornish College of the Arts- Main,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Lenora St Seattle WA 98121,"(47.617963, -122.336148)"
Cornish College of the Arts- Notion,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 Lenora St Seattle WA 98121,"(47.6178924, -122.3357243)"
Cornish College of the Arts- Raisbeck Performance Hall,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,2015 Boren Ave Seattle WA 98121,"(47.6178573, -122.3348113)"
Cornish College of the Arts-Beebe Building,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2014 9th Ave Seattle WA 98121,"(47.6167931, -122.3361846)"
Cornish College of the Arts-Centennial Lab,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Virginia St Seattle WA 98101,"(47.6174134, -122.3349055)"
Cornish College of the Arts-Commons,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2002 9th Ave Seattle WA 98101,"(47.6166738, -122.335888)"
Cornish College of the Arts-Kerry Hall/Poncho Hall,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,710 E Roy St Seattle WA 98102,"(47.6253347, -122.3230672)"
Couth Buzzard Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,8310 Greenwood Ave N Seattle WA 98103,"(47.689507, -122.35495)"
Coyote Central,(206) 323-7276,www.coyotecentral.org,5000,Central District,Y,Arts/Cultural Training or Education,2011,O,1929,0,1986,2,0,0,Y,700,Y,6,Y,Y,Y,,Y,,5,,,,,,,0,2300 E Cherry St Seattle WA 98122,"(47.6081862, -122.3025461)"
Creative Music Adventures,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4501 Interlake Ave N #2 Seattle WA 98103,"(47.661797, -122.340996)"
Crocodile,(206) 441-4618,www.thecrocodile.com,6400,Belltown,N,Performance,1990,R,1924,,2008,0,2,500,N,0,Y,0,Y,N,Y,,N,,4,,,,,,,0,2200 2nd Ave Seattle WA 98121,"(47.6135576, -122.3442489)"
Crybaby Studios,(206) 660-0117,www.crybabystudios.com,14000,Capitol Hill,N,Music,1998,R,1910,2018,1998,0,0,0,N,0,,0,Y,Y,N,,N,,1,,,,,,,0,11th Ave Seattle WA 98122,"(47.6129328, -122.3181106)"
Cuff Complex,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1533 13th Avenue Seattle WA 98122,"(47.61456, -122.315534)"
Da Projectz Music Recording Studio,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,"114 Alaskan Way South Suite 103 Seattle, WA 98104","(47.601212, -122.33522)"
Dakota Art Store,(206) 523-4830,www.dakotaartstores.com,2000,Ballard,N,Visual,2011,R,1930,2017,1990,3,0,0,N,0,Y,0,Y,N,N,,N,,4,,,,,,,0,2000 NW Market St Seattle WA 98107,"(47.66867, -122.382344)"
Danaca Design,(206) 524-0916,www.danacadesign.com,1100,University,N,Visual,2003,R,1902,,2001,1,0,0,Y,64,Partial,0,Y,N,N,,N,,1,,,,,,,0,5619 University Way NE Seattle WA 98105,"(47.6701069, -122.313258)"
Dance Underground,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,340 15th E Seattle WA 98112,"(47.621666, -122.312294)"
Dance! West Seattle,(206) 938-3062,www.dancewestseattle.com,1600,Fauntleroy,N,Performance,1983,R,1916,2017,1983,0,0,,N,0,I don't know.,30,Y,Y,N,,N,,5,,,,,,,0,9131 California Ave SW Seattle WA 98136,"(47.52195755, -122.3878746)"
Daniel Smith Art Supplies,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4150 1st Ave S Seattle WA 98134,"(47.5655555, -122.3336229)"
Danse Perdue's Psychomachia Theater,(206) 383-4105,www.danseperdue.org,2000,SODO,,Multi-use,2009,R,1928,,2000,0,1,50,Y,1400,,0,Y,Y,N,,N,,2,,,,,,,0,1534 1st Ave S Seattle WA 98134,"(47.5719192, -122.3342902)"
DASSdance Seattle,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1630 27th Avenue Seattle WA 98122,"(47.616283, -122.297218)"
Davidson Galleries,(206) 624-7684,www.davidsongalleries.com,4134,Pioneer Square,N,Visual,1986,R,1896,,1973,7,0,0,Y,3125,Partial,0,Y,N,Y,,N,,4,,,,,,,0,313 Occidental Ave S Seattle WA 98104,"(47.5995312, -122.3331168)"
Daybreak Star Cultural Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,3801 Bernie Whitebear Way Seattle WA 98199,"(47.65168, -122.402069)"
De Cajon Project,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Degenerate Art Ensemble,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,210 NW Bowdoin Pl Seattle WA 98107,"(47.6550814, -122.3596788)"
Delridge Community Center & Hiawatha,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2700 California Ave SW Seattle WA 98116,"(47.579173, -122.386637)"
Densho: The Japanese American Legacy Project,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1416 S. Jackson St. Seattle WA 98144,"(47.5994214, -122.3133875)"
Design Commission Gallery,(206) 223-7709,www.designcommissiongallery.com,3200,Pioneer Square,N,Multi-use,2009,R,1895,2018,2004,2,0,0,Y,800,Y,0,Y,N,N,,N,,4,,,,,,,0,310 South Washington St Seattle WA 98104,"(47.6010176, -122.3297496)"
Design In Public,(206) 448-4938 x107,www.designinpublic.org,2500,Belltown,Y,Arts/Cultural Training or Education,2011,R,1993,2015-10-31T00:00:00,2011,0,0,0,Y,500,Y,0,Y,N,Y,,I don't know.,,4,,,,,,,0,1911 1st Ave Seattle WA 98101,"(47.610493, -122.341634)"
"Dreamstrands Comics & Such, Inc.",206-297-3737,www.dreamstrands.com,2000,Greenwood,N,Literary,1999,R,1961,2017,1999,0,0,,N,,Y,6,Y,N,N,,N,,4,,,,,,,0,115 N 85th ST Suite 102 Seattle WA 98103,"(47.69038, -122.357391)"
Drygoods Design,(206) 535-6950,https://drygoodsdesignonline.com/,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,301 Occidental Ave S Seattle 98104,"(47.599903, -122.332888)"
Dusty Strings,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3406 Fremont Ave N Seattle WA 98103,"(47.649744, -122.349798)"
Duwamish Longhouse,(206) 431-1582,www.duwamishtribe.org,6044,West Seattle,Y,Performance,2008,O,2009,0,1982,5,0,0,Y,700,Y,26,Y,Y,N,,N,,4,,,,,,,0,4705 W Marginal Way SW Seattle WA 98106,"(47.56093545, -122.352001)"
Dynamic Sound Service,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Harper Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5531 Airport Way S Seattle WA 98108,"(47.552368, -122.320488)"
Early Music Guild,(206) 325-7066,www.earlymusicguild.org,518,Eastlake,Y,Music,1995,R,1960,2015-06-30T00:00:00,1978,2,0,0,N,,Y,2,N,N,Y,,Y,,4,,,,,,,0,2366 Eastlake Ave E #325 Seattle WA 98102,"(47.641225, -122.325897)"
Earwig Studio,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,74 S Lucile St Seattle WA 98134,"(47.553658, -122.335594)"
East African Community Services,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,7054 32nd Ave S Seattle WA 98118,"(47.539423, -122.291018)"
East West Bookshop,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,6500 Roosevelt Way NE Seattle WA 98115,"(47.6760768, -122.3170608)"
Easy Street Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,4559 California Ave SW Seattle WA 98116,"(47.5614664, -122.3870841)"
Echo Echo Gallery,(206) 633-1236,www.echoechogallery.com,3000,Greenwood,N,Visual,2010,R,,,2007,0,0,0,Y,600,N,0,Y,Y,Y,,N,,3,,,,,,,0,8537 Greenwood Ave N Seattle WA 98103,"(47.6916342, -122.3557113)"
Eclectic Theater Company,(206) 679-3271,www.eclectictheatercompany.org,900,Capitol Hill,Y,Performance,2006,R,1910,2017,2000,0,1,49,N,0,No,0,Y,Y,Y,,N,,3,,,,,,2017-10-31T00:00:00,1,1214 10th Ave Seattle WA 98122,"(47.6126561, -122.3191571)"
Edd Cox Fine Art,(206) 682-4046,www.eddcoxfineart.com,4500,Pioneer Square,N,Visual,2010,R,1900,2017,1978,4,0,0,Y,1500,Y,0,Y,N,Y,,N,,3,,,,,,,0,313 1st Ave S Seattle WA 98104,"(47.5995772, -122.3345636)"
Edge of Glass Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 N 36th St # H Seattle WA 98103,"(47.6513564, -122.3515985)"
Egan's Ballard Jam House,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1707 NW Market St Seattle WA 98107,"(47.6685294, -122.3793357)"
Egg Studios/Popllama Products,,www.eggstudios.net,750,Ravenna,N,Music,1988,O,1929,0,1981,1,0,0,N,0,,1,Y,N,N,,N,,5,,,,,,,0,,
Egyptian Theater,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,805 East Pine St Seattle WA 98122,"(47.6149531, -122.3217473)"
Eight and Sand Gallery,(206) 304-0394,www.eightandsand.com,132,Georgetown,N,Visual,2013,R,1901,2016-10-17T00:00:00,2013,0,0,0,Y,132,Y,0,N,N,Y,,N,,3,,,,,,,0,5840 Airport Way S Suite 212 Seattle WA 98108,"(47.550962, -122.318612)"
El Centro de la Raza,(206) 329-9442,www.elcentrodelaraza.com,54548,Beacon Hill,Y,Community Center,1972,O,1911,0,1972,0,0,0,N,0,Y,130,,Y,N,,Y,,5,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.5803398, -122.3112978)"
El Corazon,(206) 262-0482,www.elcorazonseattle.com,8000,Eastlake,N,Music,2004,R,1910,2024,2004,0,0,0,N,0,,20,Y,N,Y,,N,,4,,,,,,,0,109 Eastlake Ave E Seattle WA 98109,"(47.618798, -122.3293302)"
Elderwise,(206) 774-6606,www.elderwise.org,350,First Hill,Y,Visual,2000,R,1965,,1997,2,0,0,I don't know.,0,Y,20,N,N,I don't know.,,N,,4,,,,,,,0,900 University St Seattle WA 98101,"(47.610928, -122.329353)"
Electric Coffin Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2629 NW Market St Seattle WA 98107,"(47.66858144, -122.3907201)"
Electric Tea Garden (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01T00:00:00,1,1402 E Pike St Seattle WA 98122,"(47.6143, -122.3139168)"
Electrokitty Recordings,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,4415 Densmore Ave N Seattle WA 98103,"(47.66083775, -122.3376838)"
Elliott Bay Book Company,(206) 624-6600,www.elliottbaybook.com,15000,Capitol Hill,N,Literary,2010,R,1916,,1973,1,1,180,Y,,Y,0,Y,,Y,,N,,5,,,,,,,0,1521 10th Ave Seattle WA 98122,"(47.6146657, -122.3196776)"
Elliott Bay Recording Inc,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,932 12th Ave Seattle WA 98122,"(47.6113827, -122.3164132)"
Emerald City Fired Arts Studio and Gallery,206-7210450,http://www.emeraldcityfiredarts.com/,1323,Mt. Baker,N,Visual,2013,O,2010,,2012,0,0,0,Y,1323,Y,2,Y,Y,Y,,N,,5,,,,,,,0,3333 Rainer Ave S Suite A Seattle WA 98144,"(47.572998, -122.294708)"
Emerald City Guitars,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,83 S Washington St Seattle WA 98104,"(47.600886, -122.334547)"
Emerald City Trapeze,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2702 6th Ave South Seattle WA 98134,"(47.579594, -122.3255672)"
Emeralda Works,(206) 498-9208,www.printmakingworld.com/emeralda,310,Capitol Hill,N,Arts/Cultural Training or Education,2008,O,2009,,1999,3,0,,Y,300,N,2,Y,N,N,,N,,3,,,,,,,0,500 Aloha St #105 Seattle WA 98109,"(47.627403, -122.347137)"
