Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Showbox SODO,(206) 628-3151,www.showboxpresents.com,22000,SODO,N,Performance,2007,R,,2022,2007,0,1,1800,N,0,Partial,16,Y,N,Y,,N,,1,,,,,,,0,1700 1st Ave South Seattle WA 98134,"(47.5878916, -122.3339403)"
SIFF Cinema Uptown (see SIFF for answers to survey),,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,511 Queen Anne Ave N Seattle WA 98109,"(47.623616, -122.356725)"
Silver Platters Northgate,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,9560 1st Ave NE Seattle WA 98115,"(47.698273, -122.328456)"
Silver Platters SoDo,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2930 1st Ave S Seattle WA 98121,"(47.59029, -122.3341971)"
Singles Going Steady,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2219 2nd Ave Seattle WA 98121,"(47.613453, -122.345268)"
Skylark Cafe & Club,(206) 935-2111,www.skylarkcafe.com,2200,West Seattle,N,Performance,2006,R,1903,2024,2012,0,0,80,Y,400,Y,20,Y,N,Y,,N,,5,,,,,,,0,3803 Delridge Way SW Seattle WA 98106,"(47.5700038, -122.3625235)"
Slim's Last Chance,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,5606 1st Ave S Seattle WA 98108,"(47.5524847, -122.3339033)"
Small Faces/Crown Hill Center,(206) 782-2611,www.smallfaces.org,1000,Crown Hill,Y,Multi-use,1909,O,201,,1989,0,0,,N,,Y,15,I don't know.,Y,N,,N,,5,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.69725335, -122.3736211)"
SoDo MakerSpace,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,1914 Occidental Ave S Seattle WA 98134,"(47.585333, -122.33327)"
Somali Community Services of Seattle,(206) 422-7074,www.somcss.net,2287,Southside Seattle,Y,Community Center,2013,R,1980,2018,1995,2,1,50,N,0,Y,28,I don't know.,Y,N,,I don't know.,,4,,,,,,,0,8810 Renton Ave South Seattle WA 98118,"(47.523941, -122.2762979)"
Sonic Boom,(206) 297-2666,www.sonicboomrecords.com,2200,Ballard,N,Music,2001,R,1920,2016,1997,4,0,0,N,0,Partial,0,Y,N,N,,N,,4,,,,,,,0,2209 NW Market St Seattle WA 98107,"(47.6685224, -122.3851065)"
Soul Cat Guitars,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1998 Western Ave Seattle WA 98126,"(47.61033, -122.343685)"
Sound Guitar Repair,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,118 N. 35th St #105 Seattle WA 98103,"(47.652184, -122.356773)"
South Park Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8319 8th Ave S Seattle WA 98108,"(47.52876, -122.322873)"
South Park Neighborhood and Senior Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8201 10th Ave S Seattle WA 98108,"(47.529579, -122.320518)"
South Seattle Community College Chinese Gardens,(206) 934-5219,www.seattlechinesegarden.org,200376,West Seattle,Y,Heritage,2011,O,2010,0,1991,0,0,0,N,0,Partial,10,N,Y,,,,,2,,,,,,,0,6000 16th Ave SW Seattle WA 98106,"(47.5510384, -122.3518643)"
South Seattle Community College Little Theatre,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,6000 16th Ave SW Seattle WA 98106,"(47.5510384, -122.3518643)"
South Seattle Community College Olympic Hall,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,6000 16th Avenue SW Seattle WA 98106,"(47.547234, -122.351929)"
Southeast Seattle Community Youth Orchestra,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Southside Commons,206-568-5400,http://southsidecommons.org/,8060,Columbia City,Y,Multi-use,2009,O,1907,,2009,0,0,0,N,,Y,9,Y,Y,N,,N,,5,,,,,,,0,3518 S Edmunds St Seattle WA 98118,"(47.558868, -122.287971)"
Southwest Seattle Historical Society,206-938-5293,http://www.loghousemuseum.info,1100,Alki,Y,Heritage,1997,O,1904,,1984,0,1,20,Y,630,Y,23,Y,N,N,,N,,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116-2810,"(47.577553, -122.41095)"
SPCCCPPC,2063590359,SPCCCPPC@poetry.com,126,Rainier Valley,O,Literary,2010,Other,1927,2017,2010,3,1,650,Y,400,Y,8,Y,Y,N,,"We have been, but are not currently.",,3,,,,,,,0,4223 S Kenyon St Seattle WA 98118,"(47.531185, -122.279564)"
Spectrum Dance Theater,(206) 325-4161,www.spectrumdance.org,4000,Madrona,Y,Performance,1980,R,1900,0,1980,0,1,85,,,N,0,Y,Y,N,,Y,,5,,,,,,,0,800 Lake Washington Blvd Seattle WA 98122,"(47.542461, -122.260429)"
Spin Cycle,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,321 Broadway Ave East Seattle WA 98102,"(47.621666, -122.321304)"
Spring Street Center (Subud Pacific Northwest),(206) 422-5002,www.springstreetcenter.com,1700,First Hill,Y,Literary,1974,O,1905,0,1974,0,2,80,N,0,Partial,0,Y,Y,N,,N,,5,,,,,,,0,1101 15th Ave Seattle WA 98122,"(47.6117204, -122.3130658)"
SRG Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,110 Union St Suite 300 Seattle WA 98101,"(47.6080964, -122.3388114)"
St Rigsby and His Amazing Silhouettes,,www.corykelleycreative.com/sgtrigsby,46,Central District,Y,Performance,2012,R,,,1998,4,0,0,N,0,N,0,N,N,N,,N,,3,,,,,,,0,,
St. Clouds,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1131 34th Ave Seattle WA 98122,"(47.612602, -122.289642)"
St. James Cathedral,"804 9th Ave Seattle, WA 98104",,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.607586, -122.325935)"
St. Luke's Episcopal Church Seattle,206-784-3119,stlukesseattle.org,10000,Ballard,Y,Multi-use,1924,O,1975,,1924,1,2,170,No,,Partial,25,Yes,Yes,No,,No,,5,,,,,,,0,5710 22nd Ave NW Seattle WA 98107,"(47.67041, -122.384102)"
St. Paul's Episcopal Church,(206) 282-0786,www.stpaulseattle.org,1100,Uptown,Y,Multi-use,1913,O,1962,0,,3,0,0,Y,400,N,10,Y,Y,N,,N,,5,,,,,,,0,15 Roy St Seattle WA 98109,"(47.6252101, -122.3559613)"
St. Stephens Episcopal Church,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,4805 NE 45th St Seattle WA 98105,"(47.661064, -122.275932)"
Stage One Theatre- North Seattle Community College,(206) 934-3708,www.northseattle.edu,,Northgate,Y,Performance,1970,O,1970,,1970,0,2,620,Y,,Y,1001,Y,Y,N,,N,,4,,,,,,,0,9600 College Way N Seattle WA,"(47.7030576, -122.3337619)"
Steinbrueck Native Gallery,(206) 441-3821,www.steinbruecknativegallery.com,1500,Belltown,N,Visual,2006,R,1992,0,2006,0,0,0,Y,,Y,0,Y,,N,,N,,4,,,,,,,0,2030 Western Ave Seattle WA 98121,"(47.6112287, -122.3444605)"
STG Moore Theatre,(206) 467-5510,www.stgpresents.org/mooreâ€Ž,30080,Belltown,Y,Performance,1992,R,1907,,1991,1,1,1804,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,1932 2nd Ave Seattle WA 98101,"(47.6113032, -122.340846)"
STG Neptune Theatre,(206) 682-1414,www.stgpresents.org/neptuneâ€Ž,16854,University District,Y,Performance,2010,R,1921,,1991,1,1,850,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,1303 NE 45th St Seattle WA 98105,"(47.6609714, -122.3138972)"
STG Paramount Theatre,(206) 902-5500,www.stgpresents.org/paramount,112297,Downtown,Y,Performance,1991,O,1928,0,1991,0,1,2804,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,911 Pine St Seattle WA 98101,"(47.6132437, -122.331356)"
Stitches,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,711 East Pike St Seattle WA 98122,"(47.61407, -122.323097)"
Stone Soup Theatre/DownStage Theatre,(206) 388-9212,www.stonesouptheatre.org,980,Fremont,Y,Performance,2008,R,,,1996,1,1,50,N,0,Partial,0,Y,Y,N,,N,,3,,,,,,,0,4029 Stone Way N Seattle WA 98103,"(47.6561433, -122.3426065)"
Stone Way Cafe,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,3510 Stone Way N Seattle WA 98103,"(47.649878, -122.342711)"
Stonington Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,125 S Jackson St Seattle WA 98104,"(47.5989184, -122.3331591)"
Storefronts Seattle/Shunpike,(206) 905-1026,www.shunpike.org,26600,Belltown,Y,Multi-use,2007,R,1889,2013,2000,0,0,0,N,0,N,1,N,N,N,,Y,,2,,,,,,,1,2324 1st Ave # 112 Seattle WA 98121,"(47.6139909, -122.3472372)"
Shunpike,(206) 905-1026,www.shunpike.org,,International District,,Arts/Cultural Administration or Advocacy,2017,R,1932,,2000,2,,,,,,,,,,,Y,,,,,,,,,0,"815 Seattle Blvd S, Seattle, WA  98134","(47.59507, -122.327179)"
Stormy Muffin Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,219 1st Avenue S #B1 Seattle WA 98104,"(47.600216, -122.334579)"
Storum Jewish Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2618 NE 80th St Seattle WA 98115,"(47.68667, -122.299241)"
Stretch and Staple Canvas Printing Company,(206) 607-9277,www.stretchandstaple.com,1150,Greenwood,N,Service/Supply,2013,R,1930,2019,2008,2,0,,Y,600,Y,5,Y,N,Y,,N,,4,,,,,,,0,8005 Greenwood Ave N. Seattle WA 98103,"(47.687136, -122.355306)"
Studio Current,,,,Capitol Hill,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-30T00:00:00,1,1417 10th Ave #C Seattle WA 98122,"(47.613223, -122.319412)"
Studio Current,,,,Capitol Hill,,Multi-use,,,1910,,,1,,,,,N,,N,Y,,,,,,,,,,,,0,"1100 E Pike St, Seattle WA 98101","(47.61426, -122.317856)"
"Studio Instrument Rentals, Inc.",,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3631 Interlake Ave N Seattle, WA 98103","(47.651569, -122.341705)"
Studio Litho,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,348 NW 54th St Seattle WA 98107,"(47.668137, -122.362778)"
Sub Pop Records,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2013 4th Ave Third Floor Seattle WA 98121,"(47.6132461, -122.3409939)"
Sundance Cinemas LLC-Sundance Seattle,(206) 633-0059,www.sundancecinemas.com/seattle_showtimes.html,12500,University District,N,Cinema,2013,R,,,2006,5,10,,Y,70,Y,,Y,Y,Y,,N,,5,,,,,,,0,4500 9th Ave NE Seattle WA 98105,"(47.6617428, -122.3180727)"
Sunny Arms Artist Cooperative,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,707 S. Snoqualmie St Seattle WA 98108,"(47.5616585, -122.3237001)"
Sunset Tavern,(206) 784-4880,www.sunsettavern.com,2000,Ballard,N,Music,2000,R,1908,2020,2000,0,0,0,N,0,Y,0,Y,N,Y,,N,,5,,,,,,,0,5433 Ballard Ave NW Seattle WA 98107,"(47.6682756, -122.3860837)"
Sunshine from Polynesia,(206) 282-0769,www.sunshinefrompolynesia.com,400,Magnolia,N,Performance,1985,O,1908,,1985,0,0,0,N,0,I don't know.,3,I don't know.,N,N,,N,,5,,,,,,,0,4524 33rd Avenue W Seattle WA 98199,"(47.66209, -122.39917)"
Superior Audio Service,(206) 369-7588,https://www.facebook.com/SuperiorAudioService,18000,Ballard,N,Music,2008,R,1920,2017,2006,1,0,0,N,0,N,0,N,N,N,,N,,5,,,,,,,0,645 NW 45th St Seattle WA 98107,"(47.6612543, -122.3656412)"
SURF Incubator,(206) 777-1177,www.surfincubator.com,22000,Downtown,N,Performance,2014,R,1983,,2012,1,1,20,N,0,I don't know.,100,N,Y,N,,N,,4,,,,,,,0,999 3rd Ave Suite 700 Seattle WA 98104,"(47.605034, -122.334244)"
SURFincubator II,(206) 777-1177,www.surfincubator.com,1800,Downtown,N,Multi-use,1990,R,1980,2023,2007,2,1,150,Y,80,Y,0,N,Y,Y,,N,,5,,,,,,,0,999 3rd Ave Suite700 Seattle WA 98104,"(47.605034, -122.334244)"
Swedish Hospital Art Collection,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,747 Broadway Seattle WA 98122,"(47.6089681, -122.3221023)"
Tall's Camera,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,401 NE Northgate Way Seattle WA 98125,"(47.7086, -122.32479)"
Taproot Theatre,(206) 781-9707,www.taproottheatre.org,22000,Greenwood,Y,Performance,1997,O,1930,0,1976,3,2,346,N,0,Y,1,Y,,Y,,Y,,5,,,,,,,0,204 N 85th St Seattle WA 98103,"(47.6908412, -122.3562513)"
Tara Academy of Irish Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,8551 Greenwood Avenue North Suite 4 Seattle WA 98103,"(47.692089, -122.355721)"
Tasty Gallery,(206) 706-3020,www.shoptastyart.com,1000,Greenwood,N,Visual,2009,R,,,2009,0,0,0,Y,1000,,0,Y,N,N,,N,,3,,,,,,,0,7513 Greenwood Ave N Seattle WA 98103,"(47.683737, -122.3555197)"
Teatro ZinZanni,(206) 802-0015,www.zinzanni.com/seattle,28000,Uptown,Y,Performance,2006,R,2006,2015,1998,2,1,285,N,0,Y,0,Y,N,Y,,N,,4,,,,,,2017-03-05T00:00:00,1,222 Mercer St Seattle WA 98109,"(47.6249259, -122.3518443)"
Tune HiFi,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2121 1st Ave Seattle WA 98121,"(47.612072, -122.344917)"
Ted Brown Music,(206) 622-0171,www.tedbrownmyusic.com,2000,University District,Government,Music,2012,R,1960,,1931,4,0,0,No,,I don't know.,10,Y,Y,N,,N,,5,,,,,,,0,1006 NE 65th St Seattle WA 98105,"(47.675826, -122.317088)"
Temple of Cairo,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,507 E Mercer Seattle WA 98102,"(47.624282, -122.325052)"
The Alice Gallery,(206) 853-9124,www.thealicegallery.com,600,Georgetown,Other,Visual,2015,R,1904,2016-02-01T00:00:00,2015,0,0,0,Y,600,I don't know.,0,N,N,N,,N,,4,,,,,,,0,6007 12th Ave South Seattle WA 98108 ï»¿,"(47.548885, -122.317596)"
The Art Study,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,"4630 NE Village Ln, Seattle, WA 98105","(47.6626739, -122.2991137)"
The Audio Connection,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5621A University Way Northeast Seattle WA 98105,"(47.669975, -122.313045)"
The Ballet Studio,(206) 329-9166,www.theballetstudio.com,1300,University District,N,Studios,1992,R,,,,2,0,,N,,N,,N,Y,N,,N,,3,,,,,,,,4556 University Way NE Seattle WA 98105,"(47.6628472, -122.3127576)"
The Big Picture,(206) 256-0566,www.thebigpicture.net,4400,Belltown,N,Cinema,1998,,1950,0,1998,1,1,100,N,0,Y,,Y,Y,Y,,N,,5,,,,,,,0,2505 1st Ave Seattle WA 98121,"(47.6146778, -122.3492477)"
The Bush School Speaker Series,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3400 East Harrison St Seattle, WA 98112","(47.622829, -122.28698)"
The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,www.historicseattle.org/projects/gsc.aspxâ€Ž,3600,Wallingford,Y,Music,2007,O,1907,0,1974,0,1,150,N,0,Y,100,N,Y,N,,N,,5,,,,,,,0,4649 Sunnyside Ave N 4th floor Seattle WA 98103,"(47.6640977, -122.3310449)"
The Collaboratory,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,5623 Rainier Ave S Seattle WA 98118,"(47.551707, -122.277981)"
The Color Group,(206) 281-1630,www.thecolorgroup.com,3000,SODO,N,Visual,2010,R,1971,2020,2000,2,0,0,Y,2500,Y,25,Y,Y,Y,,N,,5,,,,,,,0,1741 4th Ave S Suite B Seattle WA 98134,"(47.586853, -122.329559)"
The Comedy Underground,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,"109 S. Washington St Seattle, WA 98104","(47.60089, -122.333879)"
The Comic Stop U District,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,1307 NE 45th St Seattle WA 98105,"(47.66127, -122.314006)"
The Control Room,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.66909, -122.385796)"
The Curious Nest,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2916 NE 55th St Seattle WA 98105,"(47.668777, -122.295395)"
The Dreaming Comics and Games,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,5226 University Way NE Seattle WA 98105,"(47.667054, -122.313051)"
The Drum Exchange,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4501 Interlake Ave N Seattle WA 98103,"(47.661797, -122.340996)"
The Factory,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216 10th Ave Seattle WA 98122,"(47.612338, -122.319368)"
The Guitar Store,(206) 397-4438,www.seattleguitarstore.com,4300,Green Lake,N,Service/Supply,2011,R,1950,2017,2011,1,0,,N,,Partial,0,Y,v,N,,N,,1,,,,,,,0,8300 Aurora Ave N. Seattle WA 98103,"(47.666904099999996, -122.3127673)"
The Hillman City Collaboratory,(206) 669-8106,www.hillmancitycollaboratory.org,9000,Hillman City,Y,Visual,2014,R,2014,2021,2013,0,1,120,Y,2000,Y,20,Y,Y,Y,,N,,4,,,,,,,,5623 Rainier Ave S Seattle WA 98118,"(47.551691, -122.278043)"
The Hyogo Business and Cultural Center,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 4th Ave Suite 2330 Seattle WA 98154,"(47.606213, -122.333794)"
The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,www.josephinebaker-bonaparte.blogspot.com,,Ballard,Y,Multi-use,,R,1932,,,0,1,600,N,0,N,0,Y,,N,,,,2,,,,,,2015-02-01T00:00:00,1,608 NW 65th St Seattle WA 98117,"(47.6762165, -122.3638347)"
The Knitting School,(206) 353-1337,www.theknittingschool.com,360,Mt. Baker,N,Arts/Cultural Training or Education,2011,R,1940,,2008,1,0,,N,,N,0,N,N,N,,N,,3,,,,,,,0,1507 30th Ave S Seattle WA 98144,"(47.589146, -122.293938)"
The Legacy Ltd,(206) 624-6350,www.thelegacyltd.com,1250,Downtown,N,Visual,1982,R,1892,2015,1932,2,0,0,Y,800,Partial,0,Y,N,N,,N,,3,,,,,,,0,1003 1st Ave Seattle WA 98104,"(47.6048267, -122.336745)"
The Lofts at 325,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 Westlake Ave N Seattle WA 98109,"(47.621704, -122.33886)"
The Market Theater,(206) 587-2414,www.unexpectedproductions.org,4000,Downtown,Y,Performance,1991,R,1890,2023,1983,4,1,220,,,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,1428 Post Alley Seattle WA 98101,"(47.6098589, -122.3417416)"
The Movement Lab,(425) 289-6851,www.themovementlab.youcanbook.me,1800,University District,N,Multi-use,2014,R,1940,2016,2011,0,0,,N,,N,2,N,Y,N,,N,,1,,,,,,,0,4336 University Way NE Seattle WA 98105,"(47.7203793, -122.2979988)"
The Music Factory,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2832 E Arthur Pl Seattle WA 98112,"(47.623119, -122.295752)"
The National Archives at Seattle,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,6125 Sand Point Way NE Seattle WA 98115,"(47.673092, -122.26796)"
The Northwest School,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1415 Summit Ave Seattle WA 98122,"(47.6133929, -122.3259406)"
The Pioneer Collective,(206) 310-2863,www.thepioneercollective.com,6000,Pioneer Square,N,Multi-use,2015,R,1908,2021,2014,0,0,,N,0,I don't know.,0,Y,Y,N,,N,,5,,,,,,,0,100 South King Street Suite 100 Seattle WA 98104,"(47.598572, -122.333794)"
The Project Room,(206) 499-9641,www.projectroomseattle.org,750,Capitol Hill,Y,Multi-use,2011,R,1912,2015,2011,0,0,0,N,0,,0,Y,N,Y,,N,,4,,,,,,,0,1315 E Pine St Seattle WA 98122,"(47.6151596, -122.3147172)"
The Salvation Army,206-783-1225,www.tsaseattletemple.org,19311,Greenwood,Y,Music,1972,O,1972,,1865,3,1,280,N,,Y,65,Y,Y,N,,N,,5,,,,,,,0,9501 Greenwood Ave N Seattle WA 98103,"(47.698257, -122.355942)"
The Seattle Times,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Denny Way Seattle WA 98109,"(47.619053, -122.336395)"
The Stranger,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1535 11th Ave (Third Floor) Seattle WA 98122,"(47.614554, -122.318207)"
The Studio of Awesome (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-13T00:00:00,1,101 N 85th Street #201 Seattle WA 98103,"(47.69038, -122.3577075)"
The Studios,(206) 582-3878,www.thestudios.org,10000,Downtown,N,Multi-use,2014,R,1912,2024,2013,1,1,120,N,0,Y,0,Y,Y,N,,N,,4,,,,,,,0,"1801 5th Avenue Seattle, WA 98101","(47.6127204, -122.3378104)"
The Trading Musician,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5908 Roosevelt Way NE Seattle WA 98105,"(47.67173, -122.317154)"
The Tudor Choir,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2225 Eastlake Ave E #103 Seattle WA 98102,"(47.639149, -122.326256)"
The Weaving Works,(206) 524-1221,www.weavingworks.com,2800,Ravenna,N,Service/Supply,2014,R,1920,2020,1974,2,0,0,N,0,Y,0,Y,I don't know.,N,,N,,1,,,,,,,0,6514 Roosevelt Way NE Seattle WA 98115,"(47.676398, -122.31739)"
The White Rabbit (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-13T00:00:00,1,513 N 36th St Seattle WA 98103,"(47.6513564, -122.3515985)"
Theater Schmeater,(206) 324-5801,www.schmeater.org,3000,Capitol Hill,Y,Performance,,R,2008,2018,1991,1,1,48,Y,,Y,0,Y,Y,,,Y,,3,,,,,,2013-11-01T00:00:00,1,1500 Summit Ave Seattle WA 98122,"(47.61344, -122.34325)"
Theater Schmeater,(206) 324-5801,www.schmeater.org,,Belltown,Y,Performance,,R,,,1991,2,1,48,Y,,Y,0,Y,Y,Y,,Y,,,,,,,,,0,"2125 3rd Ave, Seattle WA  98121","(47.614211, -122.325396)"
Theatre Off Jackson,(206) 340-1049,www.theatreoffjackson.org,16000,International District,Y,Performance,2005,R,1915,2014,2005,0,2,285,,,Y,0,Y,Y,Y,,Y,,1,,,,,,,0,409 7th Ave S Seattle WA 98104,"(47.5988665, -122.3239595)"
Three Dollar Bill Cinema,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,1122 E. Pike St. #1313 Seattle WA 98122,"(47.614273, -122.317245)"
Threshold Gallery at Mithun,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201 Alaskan Way #200 Seattle WA 98101,"(47.605053, -122.340225)"
Thrive Art School,(206) 522-1659,www.drawingschool.com,1200,Ravenna,N,Visual,2000,R,1940,,2000,0,0,0,N,0,I don't know.,0,I don't know.,N,N,,N,,5,,,,,,,0,6329 Ravenna Ave NE Seattle WA 98115,"(47.675001, -122.303815)"
Thunder Road Guitars,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3916 California Ave SW Seattle WA 98116,"(47.568764, -122.386375)"
Tim's Tavern,(206) 789-9005,www.timstavernseattle.com,1100,Greenwood,N,Music,2011,R,1935,2016,1934,0,0,0,N,0,Y,14,Y,N,Y,,N,,5,,,,,,,0,602 N 105th St Seattle WA 98133,"(47.705199, -122.3509853)"
Tin Hat,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,512 NW 65th St Seattle WA 98117,"(47.6760806, -122.3629711)"
Tmrw Party,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Tooth & Nail Records,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town Hall,(206) 652-4255,www.townhallseattle.org,37000,First Hill,Y,Multi-use,1999,O,1916,0,1999,0,3,1300,N,0,Y,5,Y,Y,Y,,Y,,5,,,,,,,0,1119 8th Ave Seattle WA 98101,"(47.6090096, -122.3299408)"
Tractor Tavern,(206) 789-3599,www.tractortavern.com,4000,Ballard,N,Music,1993,R,1910,,1993,0,1,299,N,0,Partial,0,Y,N,Y,,N,,4,,,,,,,0,5213 Ballard Ave NW Seattle WA 98107,"(47.6657095, -122.3828003)"
Traver Gallery,(206) 587-6501,www.travergallery.com,5000,Downtown,N,Visual,1992,R,,,1976,2,0,0,Y,5000,Y,0,Y,N,Y,,N,,5,,,,,,,0,110 Union St #200 Seattle WA 98101,"(47.6080964, -122.3388114)"
Trinity Parish Church,(206) 332-7908,www.theatre912.com,2000,First Hill,N,Performance,2009,R,,,2007,1,1,99,N,0,Y,200,Y,N,N,,N,,4,,,,,,,0,609 8th Ave Seattle WA 98104,"(47.6052251, -122.3262281)"
Triple Door Theater and Musicquarium Lounge,(206) 838-4333,www.thetripledoor.net,18656,Downtown,N,Music,2003,O,1926,0,2003,0,1,275,N,0,Y,,Y,Y,Y,,N,,5,,,,,,,0,216 Union St Seattle WA 98101,"(47.6086439, -122.337685)"
True Love Art Gallery,(206) 227-3572,www.trueloveart.com,1500,Capitol Hill,N,Visual,2011,R,1960,2016,2010,0,0,0,Y,1500,N,0,Y,N,Y,,N,,3,,,,,,,0,1525 Summit Ave Seattle WA 98122,"(47.6149584, -122.3257242)"
Tryptos Studio Collective,(206) 783-6997,www.artisttrust.org,1600,Ballard,,Studios,2002,R,1911,,2002,0,0,0,Y,300,N,0,N,N,Y,,N,,4,,,,,,,0,5227 Leary Ave NW Seattle WA 98107,"(47.6661353, -122.3818674)"
Tula's,(206) 443-4221,www.tulas.com,3000,Belltown,N,Performance,1993,R,1950,2014,1993,0,1,96,N,0,,0,Y,N,Y,,N,,3,,,,,,,0,2214 2nd Ave Seattle WA 98121,"(47.6136108, -122.3444191)"
Twilight Artist Collective,(206) 933-2444,www.twilightart.net,1100,West Seattle,N,Visual,2006,R,1900,2018,2012,0,0,48,Y,360,,0,Y,Y,N,,N,,4,,,,,,,0,306 SW Alaska St Seattle WA 98116,"(47.5610855, -122.3854525)"
