Event,Start time,End time,Building Name/Room Number,Website,Event Description/Agenda,Sponsoring Organization,Event Contact,Event Contact Position/Department,Event Contact Phone,Event Contact Email,Street Address,Latitude,Longitude,Location,Event Info Url,Classification
Open Call for Performance/Live Art,05/17/2016 12:00:00 AM,,doesliveart.wordpress.com,https://doesliveart.wordpress.com/,"This open call is looking for contemporary performance around the themes Body, Risk, and Future; from conversations, one-on-one interactions, durational works, pieces performed to and with the audience, and more. The timing coincides with the Seattle Art Fair in order to amplify the importance of Performance in Contemporary Art.<br /> <br /> The gallery will host a noontime meal each of the three days as a way to gather the artists and audience, nourish them, and network. After the meal will be discussions themed around Performance Art. In the afternoons and evenings there will be a variety of performances programmed.<br /> <br /> SOIL exists as an alternative venue for artists and curators to exhibit, develop, and advance their work. We are committed to exhibiting art of diverse media and content. Morgan Cahn, a current SOIL member, is curating this exhibition and performance series.<br /> <br /> SOIL gallery is the main hub (112 3rd Ave S, Seattle, WA 98104). Works that take place outside the gallery or depart from the gallery will also be considered. SOIL gallery is ADA accessible. ",,Morgan Cahn ,,206-471-4178 ,doesliveart@gmail.com,112 3rd Ave S,47.60113,-122.3298,"(47.60113, -122.3298)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118956844,art
Keys to the Kingdom: Sea Stars and Our Coastal Environment,05/17/2016 10:00:00 AM,05/17/2016 05:00:00 PM,,http://www.nps.gov/klse/index.htm,"Please join the Klondike Gold Rush National Historical Park as we open our new temporary exhibit, Keys to the Kingdom: Sea Stars and Our Coastal Environment. Learn about the amazing sea stars that populate the Pacific coast, the mysterious disease that has been attacking the species, and how you can play a part in the future of sea stars. This exhibit is designed and created by graduate students at the University of Washington&#39;s Museology Program. ",,Klondike Gold Rush National Historical Park ,,,,319 2nd Ave S,47.59938,-122.33197,"(47.59938, -122.33197)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117057800,art
Living Small: Ideas for Living in the City,05/17/2016 10:00:00 AM,05/17/2016 06:00:00 PM,,https://www.aiaseattle.org/livingsmall/,"As Seattle grows, how can housing design keep pace with the evolving ways we are living in cities? Is small housing a viable option? Can smaller spaces make for better living? This exhibit by 2015 Emerging Professionals Travel Scholarship Recipient Garrett Reynolds, explores micro-living spaces in dense urban environments in Copenhagen, New York, Stockholm, and Tokyo. ",,Jalayna Walton ,,,,1010 Western Ave,47.6047,-122.33739,"(47.6047, -122.33739)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118692803,art
Posing Beauty in African American Culture,05/17/2016 11:00:00 AM,05/17/2016 05:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570350,art
Posing Beauty in African American Culture,05/17/2016 11:00:00 AM,05/17/2016 07:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570478,art
CONSCIOUS CAPITALISM SEATTLE PRESENTS ?A REAL CONVERSATION WITH HOWARD BEHAR?,05/17/2016 06:00:00 PM,,,http://tinyurl.com/BeharTickets,"The Seattle chapter of Conscious Capitalism is hosting an interactive discussion with renown business leader, philanthropist and author Howard Behar on Tuesday, May 17, 2016 at Impact Hub in historic Pioneer Square. Tickets are $45.<br /> <br /> The former president of Starbucks Coffee Company North America and Starbucks Coffee International will share his unique perspective on Conscious Capitalism through the lens of his integral role in building Starbucks into one of the world&#8217;s leading companies and brands.<br /> <br /> ""Mr. Behar has a unique ability to inspire audiences to dream big dreams and he backs that up with practical steps to get there. He has proven that the principles of Conscious Capitalism work and is a true example of this movement,"" said Jenny Martin, Conscious Capitalism Seattle Chair.<br /> <br /> Behar&#8217;s career in business spans more than 50 years, all in consumer-oriented businesses covering several industries. He now serves on several boards, including iD Tech, Education Elements and the advisory boards of Anthos Capital and Roadtrip Nation. His non-profit commitments are to the University of Washington Foundation, UW Business School mentoring program and as a Trustee for The Sheri and Les Biller Family Foundation. He has authored two books on leadership: &#8220;It&#8217;s Not About the Coffee&#8221; and the newly released &#8220;The Magic Cup.&#8221;<br /> <br /> Impact Hub Seattle is located at 220 2nd Ave. S. Doors open at 6 p.m. and beer, wine and light appetizers will be provided. The program will include audience Q&A.<br /> <br /> Tickets can be purchased at: <a href=""http://tinyurl.com/BeharTickets"" target=""_blank"" title=""http://tinyurl.com/BeharTickets"">tinyurl.com&#8230;</a> ",,jenny@consciouscapitalismacademy.org,,206-724-6767 ,jenny@consciouscapitalismacademy.org,220 2nd Ave S,47.60021,-122.33108,"(47.60021, -122.33108)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118951816,art
TRUMP'D,05/17/2016 07:00:00 PM,05/17/2016 09:00:00 PM,,http://www.parleyproductions.com/,"Parley announces a workshop production of TRUMP&#8217;D by Benjamin Benne<br /> <br /> May 17th at 7pm, at West of Lenin<br /> <br /> Directed by Rebecca Tourino Collinsworth and featuring Rebecca and Brandon<br /> Tourino Collinsworth, Fawn Ledesma, Joe Ivey, and Andrew Lee Creech, TRUMP&#8217;D is the 5th in a series of workshop productions of new plays by local playwrights produced by Parley in 2016. Admission is pay what you will.<br /> <br /> In TRUMP&#8217;D, we meet Alma, who crossed the border separating Mexico and the United States at age 17 to give birth to her daughter, Angel. Now, 16 years later, Donald Trump is making his ascent toward the presidency, police brutality runs rampant, and a stranger with a penchant for milk visits the cantina where Alma works. When the line between having everything to gain and nothing to lose dissipates, Alma is left to question whether the American Dream has merely been a fantasy. In 2016, who benefits from the abundance in the land of plenty?<br /> Benjamin Benne is a Playwrights&#39; Center 2016-17 Many Voices Fellow. He was a participant in New York Theatre Intensives 2011 summer conservatory (in association with Ensemble Studio Theatre) and the 2013 NoPassport Playwriting Intensive with OBIE Award-winning playwright Caridad Svich. His play at the very bottom of a body of water (2016 O&#39;Neill Playwrights Conference semi-finalist; 2016 Bay Area Playwrights Festival finalist) is currently receiving development support by Umbrella Project, a Seattle-based new play advocacy group. Terra Incognita (2014 O&#39;Neill Playwrights Conference semi-finalist) will have its world premiere this summer at Annex Theatre. ",Parley Productions ,Susan McNally ,,2064125836 ,suemcna@msn.com,203 N 36th St,47.65248,-122.35629,"(47.65248, -122.35629)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119038983,art
"YA Panel with Jennifer Bosworth, Kristin Halbrook, A.R. Kahler, and Lish McBride",05/17/2016 07:00:00 PM,05/17/2016 08:00:00 PM,Events Space ,http://www2.bookstore.washington.edu/_events/events_cal.taf?evmonth=05&evyear=2016&eventid=2016030707543400,"Haunted by secrets they swore to keep, violent tragedies they can&#39;t explain, and voices and powers inside them that they&#39;re afraid to set free, the young women at the center of the latest novels by Jennifer Bosworth, Kristin Halbrook, A.R. Kahler, and Lish McBride find themselves faced with responsibilities and powers far beyond their years. And navigating mysterious plots, dramatic choices, and powerful forces&#8212;both of this world and others&#8212;their stories will keep you hooked from page one. For a look inside the exciting new books by these talented authors, join us for this signing and discussion with Bosworth, Halbrook, Kahler, and McBride about their addictive books and series, strong heroines, and writing processes.<br /> -In partnership with the University of Washington Alumni Association. ",University Book Store ,Erica Milgate ,,,,4326 University Way NE,47.66024,-122.31278,"(47.66024, -122.31278)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119015340,art
Open Call for Performance/Live Art,05/18/2016 12:00:00 AM,,doesliveart.wordpress.com,https://doesliveart.wordpress.com/,"This open call is looking for contemporary performance around the themes Body, Risk, and Future; from conversations, one-on-one interactions, durational works, pieces performed to and with the audience, and more. The timing coincides with the Seattle Art Fair in order to amplify the importance of Performance in Contemporary Art.<br /> <br /> The gallery will host a noontime meal each of the three days as a way to gather the artists and audience, nourish them, and network. After the meal will be discussions themed around Performance Art. In the afternoons and evenings there will be a variety of performances programmed.<br /> <br /> SOIL exists as an alternative venue for artists and curators to exhibit, develop, and advance their work. We are committed to exhibiting art of diverse media and content. Morgan Cahn, a current SOIL member, is curating this exhibition and performance series.<br /> <br /> SOIL gallery is the main hub (112 3rd Ave S, Seattle, WA 98104). Works that take place outside the gallery or depart from the gallery will also be considered. SOIL gallery is ADA accessible. ",,Morgan Cahn ,,206-471-4178 ,doesliveart@gmail.com,112 3rd Ave S,47.60113,-122.3298,"(47.60113, -122.3298)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118956845,art
Keys to the Kingdom: Sea Stars and Our Coastal Environment,05/18/2016 10:00:00 AM,05/18/2016 05:00:00 PM,,http://www.nps.gov/klse/index.htm,"Please join the Klondike Gold Rush National Historical Park as we open our new temporary exhibit, Keys to the Kingdom: Sea Stars and Our Coastal Environment. Learn about the amazing sea stars that populate the Pacific coast, the mysterious disease that has been attacking the species, and how you can play a part in the future of sea stars. This exhibit is designed and created by graduate students at the University of Washington&#39;s Museology Program. ",,Klondike Gold Rush National Historical Park ,,,,319 2nd Ave S,47.59938,-122.33197,"(47.59938, -122.33197)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117057801,art
Living Small: Ideas for Living in the City,05/18/2016 10:00:00 AM,05/18/2016 06:00:00 PM,,https://www.aiaseattle.org/livingsmall/,"As Seattle grows, how can housing design keep pace with the evolving ways we are living in cities? Is small housing a viable option? Can smaller spaces make for better living? This exhibit by 2015 Emerging Professionals Travel Scholarship Recipient Garrett Reynolds, explores micro-living spaces in dense urban environments in Copenhagen, New York, Stockholm, and Tokyo. ",,Jalayna Walton ,,,,1010 Western Ave,47.6047,-122.33739,"(47.6047, -122.33739)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118692804,art
Posing Beauty in African American Culture,05/18/2016 11:00:00 AM,05/18/2016 05:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570351,art
Posing Beauty in African American Culture,05/18/2016 11:00:00 AM,05/18/2016 07:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570479,art
Center on Contemporary Art Releases New Pop-Up (AR)t Book,05/18/2016 12:00:00 PM,05/18/2016 06:00:00 PM,,http://cocaseattle.org/exhibitions/upcoming/coca-pop-art/,"Center on Contemporary Art Releases New Pop-Up (AR)t Book<br /> Art Book Goes High Tech, Uses Augmented Reality (AR) to Bring Virtual Art to the Real World<br /> <br /> As part of CoCA&#8217;s ongoing effort to push the boundaries of contemporary art&#8212;in this case by bringing new technology to its publications&#8212;CoCA jurors Joseph Roberts and David Francis have worked with Curator and Producer Ray C. Freeman III to select 18 contemporary artworks to present in a technology-enhanced art volume, Pop-up (AR)t Book. Similar to a traditional pop-up book, three dimensional versions of featured artists&#8217; work will spring to life as the viewer turns each page. But instead of elaborate paper cutouts, new technology called Augmented Reality (AR) will allow the viewer to see the artwork in three dimensions on their mobile device &#8211; iPhone, iPad, and Android.<br /> CoCA to Celebrate Launch Of Pop-Up (AR)t at Special Reception<br /> CoCA will celebrate the launch of &#8220;CoCA Pop-Up (AR)t,&#8221; with a Book Release Party and Exhibition at the opening reception on May 12 from 6:00-9:00 p.m. at CoCA Rubix, 515 Harvard Avenue East, Seattle.<br /> <br /> In addition to the book, the artists will be featured with backlit AR &#8220;targets&#8221; that allow visitors to view larger scale AR representations of the art in the context of a gallery show. Physical versions of the artwork will also be on view so gallery goers can experience both the &#8220;real&#8221; and the &#8220;virtual&#8221; editions of selected works. The event will also host a full-scale re-creation of the CoCA p(AR)k exhibition presented at last year&#8217;s PARKing Day event. Pieces from that event include 10-foot-tall AR trees created by Casey Scalf of sensebellum.com.<br /> In addition to Scalf, other participants in the project include Northwest artists Miguel Edwards, Alan Fulle, Jeff Mihalyo, Ray C. Freeman III, Stephen Rock, BK Tran, j shagam, Xavier Lopez, Jr., Karen Hackenberg, L. Kelly Lyles, and Reilly Donovan together with California artists Amiko Matsuo, Megan Geckler, Corey Dunlap, and Bradley Tsalyuk, plus Joseph Reyes from Seoul, Korea.<br /> Rock&#8217;s Studio provided the printing for the exhibition, and Castanes Architects, P.S., A.I.A. contributed software used to assemble many of the models in the book and exhibition.<br /> How to View CoCA Pop-Up (AR)t,&#8221;<br /> The Wikitude app used to view the 3D models in the book and exhibition can be found in the iOS App Store (<a href=""https://itunes.apple.com/us/app/wikitude/id329731243?mt=8"" target=""_blank"" title=""https://itunes.apple.com/us/app/wikitude/id329731243?mt=8"">itunes.apple.com&#8230;</a>) and on Google Play (<a href=""https://play.google.com/store/apps/details?id=com.wikitude"" target=""_blank"" title=""https://play.google.com/store/apps/details?id=com.wikitude"">play.google.com&#8230;</a>). To save time and avoid bandwidth issues, users should download and install the app to their phone or tablet before visiting the gallery.<br /> <br /> CoCA Pop-Up (AR)t, Book Release Party and Opening Reception<br /> Thursday, May 12, 2016, 6pm &#8211; 9pm, as part of Capitol Hill ArtWalk<br /> <br /> Exhibition opens May 4 and runs through Saturday, May 28<br /> <br /> CoCA @ Rubix<br /> 515 Harvard Ave. E., Seattle, WA 98102<br /> Gallery Hours: Wed-Sat 12p-6p<br /> <a href=""mailto:info@cocaseattle.org"" target=""_blank"">info@cocaseattle.org</a><br /> <a href=""http://www.cocaseattle.org/"" target=""_blank"">www.cocaseattle.org</a><br /> 206.728.1980 ",Center on Contemporary Art ,Nichole DeMent ,,206-728-1980 ,info@cocaseattle.org,515 Harvard Ave E,47.62366,-122.32229,"(47.62366, -122.32229)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118880257,art
A Carlin Home Companion with Author Kelly Carlin,05/18/2016 07:00:00 PM,05/18/2016 08:00:00 PM,Events Space ,http://www2.bookstore.washington.edu/_events/events_cal.taf?evmonth=05&evyear=2016&eventid=2016021110493000,"Most of us remember George Carlin as a provocative comedy legend always eager to buck the establishment. But what about the man behind the standup? In A Carlin Home Companion, Carlin&#39;s daughter Kelly Carlin shares her story of growing up with the legendary comedian&#8212;from her front row seat to Carlin&#39;s comedic invention to her frequent role as the only ""adult"" in a family known for their alcoholism, cocaine addition, drug arrests, psychotic breaks, and crippling IRS debt. Vivid, hilarious, and heartbreaking, the book contemplates the role of her father in her life and what it takes to move beyond our childhoods and forge a life of our own. Cariln will join us for a discussion and signing of the eye-opening, insightful, and humorous read. ",University Book Store ,Erica Milgate ,,,,4326 University Way NE,47.66024,-122.31278,"(47.66024, -122.31278)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119015370,art
